Column_Name,Min,Max,Mean,Standard_Deviation
ScheduledArrTime,1.0,2359.0,1652.834886452786,466.2267630516735
ScheduledDepTime,0.0,2359.0,1495.6908925628754,420.07199660820663
ScheduledElapsedTime,0.0,1439.0,133.69511400381052,112.53878120554428
Distance,31.0,4502.0,755.1171480991063,571.7189566901324
DepTemperature,-38.224,44.228,11.899564180201729,10.752078971420541
DepWindSpeed,0.0,67.812,13.027144904323404,7.261871824161539
DepWindDirection,0.63657844,360.0,186.52513761424856,98.25194383289006
DepPrecipitation,0.0,52.4,0.1436865175395267,0.6629680786802217
DepRain,0.0,52.4,0.1321537235437502,0.6540552582715705
DepSnowFall,0.0,3.2899997,0.008098089319028032,0.07988309222191275
ArrTemperature,-37.830498,44.328,12.744018011465904,10.66404240052828
ArrWindSpeed,0.0,67.812,13.319733266560172,7.37650146669677
ArrWindDirection,0.63657844,360.0,188.9954180435194,98.12162407035832
ArrPrecipitation,0.0,30.1,0.1401684425498001,0.6238480496902054
ArrRain,0.0,30.1,0.12937969308843233,0.6153793571713954
ArrSnowFall,0.0,3.2899997,0.0075742072652368285,0.07475786886289562
Day,1.0,31.0,15.215897440154745,8.938662667268838
